"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tarefas Agendadas) - Todos os tempos em minutos"
"Daily","Diariamente"
"Failure History Lifetime","Tempo de Vida para Histórico de Erro"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para gerar URL's corretas durante a execução de tarefas, por favor confirme que web> Url base seguras e não seguras estão bem definidas"
"Generate Schedules Every","Gerar Agendamentos a Cada"
"History Cleanup Every","Limpar o Histórico a cada"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição de modelo/método inválido, esperando ""model/class::method""."
"Missed if Not Run Within","Falha se não Correr em"
"Monthly","Mensalmente"
"No callbacks found","Não foram encontrados callbacks"
"Schedule Ahead for","Agendar Previamente para"
"Success History Lifetime","Tempo de Vida para Histórico de Sucesso"
"Too late for the schedule.","Demasiado tarde para agendar."
"Unable to save the cron expression.","Não foi possível guardar a expressão cron"
"Weekly","Semanalmente"
