"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Chaves personalizadas para o tema RWD."
"###","- - - - - - - - - - - - - - - - - - - - -"
"%s-%s of %s","%s-%s de %s"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Deseja realmente sair da página? O processo de checkout será reiniciado."
"Discount Codes?","Possui um cupão?"
"Faster checkout","Checkout Rápido"
"Filter","Filtro"
"Registration is free and easy!","Registe-se, é rápido e fácil!"
"Results per page","Resultados por página"
"Save multiple shipping addresses","Vários endereços de entrega"
"Share on Facebook","Partilhar no Facebook"
"Share on Twitter","Partilhar no Twitter"
"View and track orders and more","Visualizar e seguir pedidos e mais"
"View Details","Detalhes"
"Zip/Postal Code","CP"
